policy,video_id,source,clip_index,frames,cold_first_batch,single_execution_seconds,attn_mode,generation_autocast,cuda_version,gpu_name,parameter_dtype,timing_scope
human_k16_seed440830,Coutrot_db2/clip9,Coutrot_db2,5,16,False,0.37400392442941666,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,16,False,0.3788142753764987,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,DIEM/scottish_parliament_1152x864,DIEM,7,16,False,0.3848448311910033,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,ETMD_av/CRA_1_color,ETMD_av,8,16,False,0.3986296271905303,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,ETMD_av/CRA_2_color,ETMD_av,9,16,False,0.37993568647652864,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,SumMe/Kids_playing_in_leaves,SumMe,10,16,False,0.37466516625136137,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,SumMe/Paintball,SumMe,11,16,False,0.3800135003402829,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440831,AVAD/V39_Guitar4,AVAD,0,16,True,0.3782503940165043,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440831,AVAD/V40_Guitar5,AVAD,1,16,False,0.37614459078758955,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440831,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.37492867931723595,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440831,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.3757557775825262,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440831,Coutrot_db2/clip12,Coutrot_db2,4,16,False,0.3722470924258232,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
